group	lib.size	norm.factors	samples
P4_M_none	2516717	1.137063912	X..A2.._tube9_P4_2.21.14_M
P14_M_none	2411309	0.874259789	X..A3.._tube17_P14_2.24.14_M.1
P14_F_none	860919	1.003924557	X..A4.._tube25_P14_2.28.14_F.3
P14_M_none	2404167	0.911867167	X..A5.._tube33_P14_3.14.14_M.3
P60_M_SAL	2165314	0.974930463	X..A7.._tube49_P60_SAL_4.3.14_M.2
P60_M_LPS	955904	0.940714662	X..A8.._tube57_P60_LPS_4.8.14_M.5
E18_F_none	2280249	1.199014258	X..B1.._tube2_E18_1.25.14_F
P4_F_none	1849794	1.17233602	X..B2.._tube10_P4_2.21.14_F
P14_M_none	2064459	0.930907099	X..B3.._tube18_P14_2.24.14_M.2
P14_F_none	891773	0.997177825	X..B4.._tube26_P14_2.28.14_F.4
P14_F_none	3441194	0.892910066	X..B5.._tube34_P14_3.14.14_F.4
P60_M_SAL	3176221	0.868520728	X..B6.._tube42_P60_SAL_3.31.14_M.1
P60_M_SAL	791292	0.827144354	X..B7.._tube50_P60_SAL_4.3.14_M.3
P60_F_LPS	952973	0.896277749	X..B8.._tube58_P60_LPS_4.9.14_F.1
P60_F_LPS	1377098	0.870814774	X..B9.._tube66_P60_LPS_4.10.14_F.3
E18_M_none	2289659	1.212034091	X..C1.._tube3_E18_1.27.14_M
P4_M_none	2283997	1.128391407	X..C2.._tube11_P4_3.7.14_M
P14_M_none	2105607	0.955207222	X..C3.._tube19_P14_2.24.14_M.3
P14_M_none	1024998	1.029456185	X..C4.._tube27_P14_2.28.14_M.5
P14_F_none	2975816	0.879846382	X..C5.._tube35_P14_3.14.14_F.5
P60_F_SAL	958471	0.902777745	X..C6.._tube43_P60_SAL_3.31.14_F.2
P60_F_SAL	1061145	0.957713956	X..C7.._tube51_P60_SAL_4.3.14_F.4
P60_F_LPS	1644	5.196179221	X..C9.._tube67_P60_LPS_4.10.14_F.4
E18_F_none	1642408	1.219530269	X..D1.._tube4_E18_1.27.14_F
P4_F_none	2378107	1.108608145	X..D2.._tube12_P4_3.7.14_F
P14_F_none	1732352	0.905721197	X..D3.._tube20_P14_2.24.14_F.4
P14_M_none	957797	1.055597595	X..D4.._tube28_P14_2.28.14_M.6
P14_F_none	2285897	0.923961287	X..D5.._tube36_P14_3.14.14_F.6
P60_F_SAL	2539386	0.92057944	X..D6.._tube44_P60_SAL_3.31.14_F.3
P60_M_LPS	840522	0.819316231	X..D8.._tube60_P60_LPS_4.9.14_M.3
P60_F_LPS	1309759	0.861956463	X..D9.._tube68_P60_LPS_4.10.14_F.5
E18_M_none	2626224	1.234353986	X..E1.._tube5_E18_3.15.14_M
P4_M_none	1889693	1.136949826	X..E2.._tube13_P4_4.1.14_M
P14_F_none	2485650	0.963429609	X..E3.._tube21_P14_2.24.14_F.5
P14_M_none	959757	1.072521467	X..E4.._tube29_P14_2.28.14_M.7
P60_F_SAL	3118656	0.913936623	X..E5.._tube37_P60_SAL_3.27.14_F.1
P60_F_SAL	850724	0.930368377	X..E6.._tube45_P60_SAL_3.31.14_F.4
P60_F_LPS	1131966	0.887236648	X..E7.._tube53_P60_LPS_4.8.14_F.1
P60_M_LPS	942251	0.82281025	X..E8.._tube61_P60_LPS_4.9.14_M.4
P60_M_LPS	1310151	0.873263399	X..E9.._tube69_P60_LPS_4.10.14_M.1
E18_F_none	1911439	1.207810266	X..F1.._tube6_E18_3.15.14_F
P4_F_none	2737281	1.115171082	X..F2.._tube14_P4_4.1.14_F
P14_F_none	2229777	1.009680237	X..F3.._tube22_P14_2.24.14_F.6
P14_M_none	923115	1.038451809	X..F4.._tube30_P14_2.28.14_M.8
P60_M_SAL	2343862	0.932471277	X..F5.._tube38_P60_SAL_3.27.14_M.2
P60_F_SAL	865073	0.94173106	X..F6.._tube46_P60_SAL_3.31.14_F.5
P60_F_LPS	791256	0.888542027	X..F7.._tube54_P60_LPS_4.8.14_F.2
P60_M_LPS	895419	0.832304315	X..F8.._tube62_P60_LPS_4.9.14_M.5
E18_M_none	2707992	1.170345	X..G1.._tube7_E18_4.11.14_M
P4_M_none	3014192	1.06728526	X..G2.._tube15_P4_4.2.14_M
P14_F_none	2932799	0.930761394	X..G3.._tube23_P14_2.28.14_F.1
P14_M_none	1156933	0.925763078	X..G4.._tube31_P14_3.14.14_M.1
P60_F_SAL	2336264	0.948197779	X..G6.._tube47_P60_SAL_3.31.14_F.6
P60_F_LPS	832437	0.888736417	X..G7.._tube55_P60_LPS_4.8.14_F.3
P60_M_LPS	152365	1.027326456	X..G9.._tube71_P60_LPS_4.10.14_M.3
E18_F_none	1350713	0.829129616	X..H1.._tube8_E18_4.11.14_F
P4_F_none	1960248	1.104009701	X..H2.._tube16_P4_4.2.14_F
P14_F_none	1921692	1.01412075	X..H3.._tube24_P14_2.28.14_F.2
P14_M_none	1087470	0.928581072	X..H4.._tube32_P14_3.14.14_M.2
P60_M_SAL	1947044	0.962685314	X..H6.._tube48_P60_SAL_4.3.14_M.1
P60_M_LPS	886629	0.908069181	X..H7.._tube56_P60_LPS_4.8.14_M.4
P60_F_LPS	1235167	0.877804304	X..H8.._tube64_P60_LPS_4.10.14_F.1
