"","class","rank","dataSetID","dataSetName","inGroups","pValue","Bonferroni","FDR","nCommonGenes","fracOfEffectiveClassSize","expectedFracOfEffectiveClassSize","enrichmentRatio","classSize","effectiveClassSize","fracOfEffectiveSetSize","effectiveSetSize","shortDataSetName","overlapGenes"
"1","black",1,"Nowakowski 2017 Glycolysis","Nowakowski 2017 Glycolysis","Cell Types",0.0012830063337108,0.780067850896168,0.00896629713673757,64,0.205128205128205,0.142424624700391,1.44025800004542,457,312,0.0566873339238264,1129,"Nowakowski 2017 Glycolysis","ACBD5,ANXA7,BET1,BLOC1S3,BNIP3L,CCDC66,CCNG1,CDC40,CEP290,CLCC1,COPB2,DCUN1D2,DERL2,DNAJC3,GFM1,GHITM,GOLPH3L,GTF3C3,HSPA13,HYOU1,INSIG2,KDELR2,KPNA6,LRPPRC,LTN1,MAK16,MRPL10,NBR1,NR2C1,OXCT1,PCMTD2,PIKFYVE,PJA2,PPP1R7,RAB21,SAR1B,SCAMP1,SEC23B,SEC23IP,SNAPC1,SSBP1,SYNJ2BP,TM9SF2,TMBIM4,TMED3,TMEM106B,TMEM128,TMEM209,TMEM30A,TMEM39A,TRAPPC6B,TRMT11,TTC33,UBE4A,UBLCP1,UNC50,UTP6,WDR75,XPNPEP3,ZNF160,ZNF506,ZNF708,ZNF714,ZRSR2"
"2","black",2,"Nowakowski 2017 Outer Radial Glia","Nowakowski 2017 Outer Radial Glia","Cell Types",0.268562116450409,1,0.927760038646867,81,0.259615384615385,0.243471679071528,1.06630629732961,457,312,0.0419689119170984,1930,"Nowakowski 2017 Outer Radial Glia","ABCD3,ACBD5,AFG3L2,ANKRD40,ANXA7,ASB8,ATL3,BBX,BET1,BLOC1S3,CAST,CCNG1,CES2,CLUAP1,COX15,CPNE3,DERL2,DHX29,DNAJC3,FAM111A,FAM3C,FNDC3B,FUNDC1,GGCX,GNPDA2,GOLIM4,HEG1,HIBCH,JAM2,KDELR2,LAPTM4A,LGALS3BP,LMBRD2,LRIG3,LRP6,MAK16,MAT2B,MPHOSPH8,MPV17,NBAS,NBR1,NDFIP1,NEDD1,NEK9,NOC3L,PHKB,PNPLA8,PNPT1,PPM1K,RAB18,RAB21,REEP5,REXO2,RPN2,RPP14,SACM1L,SCAMP1,SEC23IP,SGK3,SLC30A4,SRI,SUGT1,TCEAL1,THUMPD3,TIMP2,TMBIM4,TMED10,TMED7,TMEM126B,TMEM65,UBA3,UNC50,USP40,UTRN,WDR60,YIPF6,ZFYVE16,ZMAT1,ZMPSTE24,ZNF43,ZNF438"
"3","black",3,"Nowakowski 2017 Early Born Deep Layer/subplate Excitatory Neuron V1","Nowakowski 2017 Early Born Deep Layer/subplate Excitatory Neuron V1","Cell Types",0.309455372365446,1,1,53,0.169871794871795,0.158445818090072,1.07211283276172,457,312,0.0421974522292994,1256,"Nowakowski 2017 Early Born Deep Layer/subplate Excitatory Neuron V1","ATP2A2,BBX,BIVM,CASK,CDC40,CDS2,CEP290,CLUAP1,DHX29,DNAJB14,EIF4E3,FAM3C,FRG1,GATC,GOLIM4,HEATR5B,HSPA13,IDS,JAM2,KIAA0100,NDFIP1,NDRG1,NDUFAF4,PAPOLG,PJA2,PKD2,PNPT1,PPP1R7,PPP3R1,RPN2,RTN3,SCAMP1,SKIV2L2,SLC35A5,SRI,TIMP2,TMBIM4,TMEM106B,TMEM123,TMEM59,TXNDC15,UBE3A,UBLCP1,UTP6,WDR60,YIPF4,ZMPSTE24,ZNF195,ZNF43,ZNF493,ZNF512,ZNF519,ZNF682"
"4","black",4,"Habib 2017 ODC","Habib 2017 ODC","Cell Types",0.323606703986328,1,1,4,0.0128205128205128,0.00920903242084017,1.39216719353706,457,312,0.0547945205479452,73,"Habib 2017 ODC","NDRG1,TRIM21,ZFYVE16,ZNF708"
"5","black",5,"Nowakowski 2017 Early Born Deep Layer/subplate Excitatory Neuron PFC","Nowakowski 2017 Early Born Deep Layer/subplate Excitatory Neuron PFC","Cell Types",0.408787602931957,1,1,55,0.176282051282051,0.170177873091964,1.03586939993537,457,312,0.0407709414381023,1349,"Nowakowski 2017 Early Born Deep Layer/subplate Excitatory Neuron PFC","ALG6,ASB8,BBX,BIVM,CCPG1,CDS2,CEP290,CLUAP1,DHX29,DNAJC18,EIF4E3,ESF1,FAM3C,FRG1,GCC2,GOLIM4,HEATR5B,HSPA13,IDS,JAM2,LAPTM4A,LMBRD2,LRPPRC,MLH3,MRPS25,MTFMT,NBR1,NDFIP1,NDRG1,PAPOLG,PIK3C3,PJA2,PPP1R7,RAB18,RNF150,SCAMP1,SEL1L,SLC35A5,TMEM106B,TMEM123,TMEM161B,TMEM19,TMEM59,TMX3,TRAPPC6B,TTC33,UBA3,UBE3A,UTP6,YIPF4,ZNF43,ZNF493,ZNF506,ZNF605,ZNF626"
"6","black",6,"Nowakowski 2017 MGE newborn neurons","Nowakowski 2017 MGE newborn neurons","Cell Types",0.496538171902702,1,1,93,0.298076923076923,0.296455153273622,1.0054705400982,457,312,0.0395744680851064,2350,"Nowakowski 2017 MGE newborn neurons","ANKRD40,ATP11B,ATP2A2,BBX,BNIP3L,CASK,CASP8AP2,CCDC66,CCNG1,CDS2,CEP290,CLUAP1,COMMD6,COPB2,DCP2,DERL2,DHX29,DNAJB11,DNAJB14,DNAJC18,DNAJC3,DR1,ESF1,FAF2,FBXL5,FRG1,GCC2,GHITM,GOLIM4,HEATR5B,HSPA13,IDS,IMMT,JAM2,KDELR2,LAPTM4A,LRP6,LRPPRC,LTN1,METTL16,MPHOSPH8,NBAS,NDFIP1,NDRG1,PIK3C3,PIKFYVE,PJA2,PKD2,PNPLA8,POLK,PPM1K,RAB18,RAB21,RALGAPB,RBBP5,REEP5,RPN2,RTN3,SAR1B,SCAMP1,SEL1L,SKIV2L2,SLC30A9,SSBP1,SUGT1,SYNJ2BP,TFAM,TIMP2,TM9SF2,TMED10,TMEM106B,TMEM123,TMEM161B,TMEM209,TMEM59,TMTC3,TRAPPC6B,TTC37,UBA3,UBE3A,UBE3C,UBE4A,UTP6,WDR11,WDR48,WDR60,ZCCHC10,ZFYVE16,ZNF106,ZNF260,ZNF506,ZNF512,ZNF714"
"7","black",7,"Nowakowski 2017 Choroid","Nowakowski 2017 Choroid","Cell Types",0.568693850277187,1,1,40,0.128205128205128,0.130187965182288,0.984769429536871,457,312,0.0387596899224806,1032,"Nowakowski 2017 Choroid","AGTRAP,ANKRD40,ANXA4,ARHGAP29,ARHGEF3,ATP11B,B4GALT6,CAST,CCNDBP1,CHSY1,DNAJB14,FAF2,GOLIM4,IPO8,LMAN1,LMAN2,MBD4,MITF,MKKS,MPHOSPH8,MPV17,MYOF,NEK9,PPM1K,PPP3R1,SDF4,SNAPC1,SRI,TBC1D8B,TIMP2,TMEM209,TMEM59,TNFAIP8,UNC50,UTRN,WDR48,WDR60,ZFYVE16,ZNF106,ZNF512"
"8","black",8,"Nowakowski 2017 Intermediate Progenitor Cells RG-like","Nowakowski 2017 Intermediate Progenitor Cells RG-like","Cell Types",0.590409492284732,1,1,41,0.131410256410256,0.134477103570077,0.977194280078896,457,312,0.0384615384615385,1066,"Nowakowski 2017 Intermediate Progenitor Cells RG-like","BBX,C12orf29,CASP8AP2,DCLRE1A,DCP2,DERL2,DNAJB11,ELMOD2,FAM111A,GOLIM4,HEG1,IMMT,IPO8,JAM2,LAPTM4A,LRIG3,MAT2B,MBD4,MIS12,NDRG1,NEDD1,PKD2,RPN2,SLC25A11,SRI,SSBP1,THUMPD2,TMEM123,TMEM128,TMEM209,TRIP4,ZNF100,ZNF106,ZNF43,ZNF492,ZNF682,ZNF714,ZNF718,ZNF726,ZNF90,ZNF93"
"9","black",9,"Lake 2018 Ex3c","Lake 2018 Ex3c","Cell Types",0.599957143307876,1,1,8,0.0256410256410256,0.0267440393591523,0.958756652152879,457,312,0.0377358490566038,212,"Lake 2018 Ex3c","ATP2A2,GCC2,IDS,NDFIP1,PJA2,REEP5,RTN3,TMEM30A"
"10","black",10,"Lake 2018 Per","Lake 2018 Per","Cell Types",0.643552600828589,1,1,2,0.00641025641025641,0.00693831209789328,0.923892773892774,457,312,0.0363636363636364,55,"Lake 2018 Per","ARHGAP29,UTRN"
