"","ensembl_gene_id","hgnc_symbol","entrezgene"
"1","ENSG00000007923","DNAJC11",55735
"2","ENSG00000008128","CDK11A",728642
"3","ENSG00000008130","NADK",65220
"4","ENSG00000009724","MASP2",10747
"5","ENSG00000011021","CLCN6",1185
"6","ENSG00000028137","TNFRSF1B",7133
"7","ENSG00000037637","FBXO42",54455
"8","ENSG00000041988","THAP3",90326
"9","ENSG00000048707","VPS13D",55187
"10","ENSG00000049239","H6PD",9563
"11","ENSG00000049245","VAMP3",9341
"12","ENSG00000049246","PER3",8863
"13","ENSG00000049247","UTS2",10911
"14","ENSG00000049249","TNFRSF9",3604
"15","ENSG00000054523","KIF1B",23095
"16","ENSG00000055070","SZRD1",26099
"17","ENSG00000058453","CROCC",9696
"18","ENSG00000065526","SPEN",23013
"19","ENSG00000067606","PRKCZ",5590
"20","ENSG00000069424","KCNAB2",8514
"21","ENSG00000069812","HES2",54626
"22","ENSG00000074800","ENO1",2023
"23","ENSG00000074964","ARHGEF10L",55160
"24","ENSG00000078369","GNB1",2782
"25","ENSG00000078808","SDF4",51150
"26","ENSG00000078900","TP73",7161
"27","ENSG00000080947","CROCCP3",114819
"28","ENSG00000083444","PLOD1",5351
"29","ENSG00000097021","ACOT7",11332
"30","ENSG00000107404","DVL1",1855
"31","ENSG00000116138","DNAJC16",23341
"32","ENSG00000116151","MORN1",79906
"33","ENSG00000116198","CEP104",9731
"34","ENSG00000116213","WRAP73",49856
"35","ENSG00000116237","ICMT",23463
"36","ENSG00000116251","RPL22",6146
"37","ENSG00000116254","CHD5",26038
"38","ENSG00000116273","PHF13",148479
"39","ENSG00000116285","ERRFI1",54206
"40","ENSG00000116288","PARK7",11315
"41","ENSG00000116649","SRM",6723
"42","ENSG00000116661","FBXO2",26232
"43","ENSG00000116663","FBXO6",26270
"44","ENSG00000116670","MAD2L2",10459
"45","ENSG00000116685","KIAA2013",90231
"46","ENSG00000116685","KIAA2013",102724984
"47","ENSG00000116688","MFN2",9927
"48","ENSG00000116691","MIIP",60672
"49","ENSG00000116721","PRAMEF1",65121
"50","ENSG00000116726","PRAMEF12",390999
"51","ENSG00000116731","PRDM2",7799
"52","ENSG00000116771","AGMAT",79814
"53","ENSG00000116786","PLEKHM2",23207
"54","ENSG00000116809","ZBTB17",7709
"55","ENSG00000117115","PADI2",11240
"56","ENSG00000117118","SDHB",6390
"57","ENSG00000117122","MFAP2",4237
"58","ENSG00000117148","ACTL8",81569
"59","ENSG00000117154","IGSF21",84966
"60","ENSG00000120937","NPPB",4879
"61","ENSG00000120942","UBIAD1",29914
"62","ENSG00000120948","TARDBP",23435
"63","ENSG00000120949","TNFRSF8",943
"64","ENSG00000120952","PRAMEF2",65122
"65","ENSG00000127054","INTS11",54973
"66","ENSG00000130762","ARHGEF16",27237
"67","ENSG00000130764","LRRC47",57470
"68","ENSG00000130939","UBE4B",10277
"69","ENSG00000130940","CASZ1",54897
"70","ENSG00000131584","ACAP3",116983
"71","ENSG00000131591","C1orf159",54991
"72","ENSG00000131686","CA6",765
"73","ENSG00000131697","NPHP4",261734
"74","ENSG00000132879","FBXO44",93611
"75","ENSG00000132881","RSG1",79363
"76","ENSG00000132906","CASP9",842
"77","ENSG00000142583","SLC2A5",6518
"78","ENSG00000142599","RERE",473
"79","ENSG00000142609","CFAP74",85452
"80","ENSG00000142611","PRDM16",63976
"81","ENSG00000142615","CELA2A",63036
"82","ENSG00000142619","PADI3",51702
"83","ENSG00000142621","FHAD1",NA
"84","ENSG00000142623","PADI1",29943
"85","ENSG00000142627","EPHA2",1969
"86","ENSG00000142632","ARHGEF19",128272
"87","ENSG00000142634","EFHD2",79180
"88","ENSG00000142655","PEX14",5195
"89","ENSG00000142657","PGD",5226
"90","ENSG00000149527","PLCH2",9651
"91","ENSG00000157191","NECAP2",55707
"92","ENSG00000157330","C1orf158",93190
"93","ENSG00000157911","PEX10",5192
"94","ENSG00000157916","RER1",11079
"95","ENSG00000157933","SKI",6497
"96","ENSG00000158109","TPRG1L",127262
"97","ENSG00000158286","RNF207",388591
"98","ENSG00000158292","GPR153",387509
"99","ENSG00000159339","PADI4",23569
"100","ENSG00000159363","ATP13A2",23400
"101","ENSG00000160049","DFFA",1676
"102","ENSG00000160072","ATAD3B",83858
"103","ENSG00000160075","SSU72",29101
"104","ENSG00000160087","UBE2J2",118424
"105","ENSG00000162408","NOL9",79707
"106","ENSG00000162413","KLHL21",9903
"107","ENSG00000162426","SLC45A1",50651
"108","ENSG00000162438","CTRC",11330
"109","ENSG00000162441","LZIC",84328
"110","ENSG00000162444","RBP7",116362
"111","ENSG00000162458","FBLIM1",54751
"112","ENSG00000162460","TMEM82",388595
"113","ENSG00000162461","SLC25A34",284723
"114","ENSG00000162490","DRAXIN",374946
"115","ENSG00000162493","PDPN",10630
"116","ENSG00000162494","LRRC38",126755
"117","ENSG00000162496","DHRS3",9249
"118","ENSG00000162571","TTLL10",254173
"119","ENSG00000162572","SCNN1D",6339
"120","ENSG00000162576","MXRA8",54587
"121","ENSG00000162585","FAAP20",199990
"122","ENSG00000162591","MEGF6",1953
"123","ENSG00000162592","CCDC27",148870
"124","ENSG00000169598","DFFB",1677
"125","ENSG00000169717","ACTRT2",140625
"126","ENSG00000169885","CALML6",163688
"127","ENSG00000169962","TAS1R3",83756
"128","ENSG00000169972","PUSL1",126789
"129","ENSG00000171603","CLSTN1",22883
"130","ENSG00000171608","PIK3CD",5293
"131","ENSG00000171612","SLC25A33",84275
"132","ENSG00000171621","SPSB1",80176
"133","ENSG00000171680","PLEKHG5",57449
"134","ENSG00000171729","TMEM51",55092
"135","ENSG00000171735","CAMTA1",23261
"136","ENSG00000171819","ANGPTL7",10218
"137","ENSG00000171824","EXOSC10",5394
"138","ENSG00000173614","NMNAT1",64802
"139","ENSG00000173641","HSPB7",27129
"140","ENSG00000173662","TAS1R1",80835
"141","ENSG00000173673","HES3",390992
"142","ENSG00000175147","TMEM51-AS1",200197
"143","ENSG00000175206","NPPA",4878
"144","ENSG00000175262","C1orf127",148345
"145","ENSG00000175279","CENPS",378708
"146","ENSG00000175756","AURKAIP1",54998
"147","ENSG00000176022","B3GALT6",126792
"148","ENSG00000177000","MTHFR",4524
"149","ENSG00000177133","LINC00982",440556
"150","ENSG00000177553","",102724659
"151","ENSG00000177674","AGTRAP",57085
"152","ENSG00000177757","FAM87B",400728
"153","ENSG00000178585","CTNNBIP1",56998
"154","ENSG00000178821","TMEM52",339456
"155","ENSG00000179023","KLHDC7A",127707
"156","ENSG00000179051","RCC2",55920
"157","ENSG00000179172","HNRNPCL1",343069
"158","ENSG00000179403","VWA1",64856
"159","ENSG00000179743","",729614
"160","ENSG00000179840","PIK3CD-AS1",644997
"161","ENSG00000180758","GPR157",80045
"162","ENSG00000182873","PRKCZ-AS1",100506504
"163","ENSG00000183888","SRARP",149563
"164","ENSG00000184163","C1QTNF12",388581
"165","ENSG00000184908","CLCNKB",1188
"166","ENSG00000185519","FAM131C",348487
"167","ENSG00000186301","MST1P2",NA
"168","ENSG00000186510","CLCNKA",1187
"169","ENSG00000186715","MST1L",NA
"170","ENSG00000186827","TNFRSF4",7293
"171","ENSG00000186891","TNFRSF18",8784
"172","ENSG00000187017","ESPN",83715
"173","ENSG00000187144","SPATA21",374955
"174","ENSG00000187545","PRAMEF10",343071
"175","ENSG00000187583","PLEKHN1",84069
"176","ENSG00000187608","ISG15",9636
"177","ENSG00000187634","SAMD11",148398
"178","ENSG00000187642","PERM1",84808
"179","ENSG00000187730","GABRD",2563
"180","ENSG00000187961","KLHL17",339451
"181","ENSG00000188157","AGRN",375790
"182","ENSG00000188290","HES4",57801
"183","ENSG00000188807","TMEM201",199953
"184","ENSG00000188976","NOC2L",26155
"185","ENSG00000188984","AADACL3",126767
"186","ENSG00000189337","KAZN",23254
"187","ENSG00000189339","SLC35E2B",728661
"188","ENSG00000189409","MMP23B",8510
"189","ENSG00000196581","AJAP1",55966
