#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.kgXref.mRNA	mm10.kgXref.geneSymbol
uc007aeu.1	chr1	-	3214481	3671498	NM_001011874	Xkr4
uc007aew.1	chr1	-	4290845	4409241	NM_001195662	Rp1
uc007aex.2	chr1	-	4343506	4360314	NM_011283	Rp1
uc007aez.2	chr1	-	4490927	4497354	NM_011441	Sox17
uc007afd.3	chr1	-	4773199	4785726	NM_025300	Mrpl15
uc007aff.3	chr1	-	4773199	4785726	NM_001177658	Mrpl15
uc007afe.3	chr1	-	4773199	4785726	NR_033530	Mrpl15
uc007afg.1	chr1	+	4807892	4842827	AK050549	Lypla1
uc007afh.1	chr1	+	4807892	4846735	NM_008866	Lypla1
uc007afi.2	chr1	+	4857693	4897909	NM_011541	Tcea1
uc011wht.1	chr1	+	4857693	4897909	NM_001159750	Tcea1
uc011whu.1	chr1	+	4858327	4897909	NM_001159751	Tcea1
uc007afk.3	chr1	-	4909575	5019539	NM_021374	Rgs20
uc007afl.2	chr1	-	4909575	5070285	NM_001177795	Rgs20
uc007afn.2	chr1	+	5083085	5162549	NM_133826	Atp6v1h
uc007afo.2	chr1	+	5588492	5606133	NM_011011	Oprk1
uc007afq.2	chr1	+	5596517	5606133	AK138198	Oprk1
uc011whw.1	chr1	-	5913706	5917398	NM_010342	Npbwr1
uc007afr.2	chr1	+	6214661	6276104	NM_009826	Rb1cc1
uc011whx.1	chr1	+	6234228	6276104	AB093216	Rb1cc1
uc007afs.1	chr1	+	6240969	6250167	AK165119	Rb1cc1
uc007afv.2	chr1	+	6359330	6394731	NM_001195732	Fam150a
uc007afw.1	chr1	+	6487230	6860940	NM_001244692	St18
uc007afx.1	chr1	+	6487230	6860940	NM_001244693	St18
uc007afy.1	chr1	+	6730050	6860940	NR_045188	St18
uc007afz.1	chr1	+	6730050	6860940	NR_045189	St18
uc007aga.1	chr1	+	6730050	6860940	NM_173868	St18
uc007agb.1	chr1	+	7088919	7173628	NM_183028	Pcmtd1
uc007agc.1	chr1	+	7088919	7173628	AK079468	Pcmtd1
uc011why.1	chr1	+	7088919	7173628	AK134223	Pcmtd1
uc007agd.1	chr1	+	7160084	7173628	AK161921	Pcmtd1
uc007agh.2	chr1	-	8359738	9299877	NM_027671	Sntg1
uc007agk.2	chr1	+	9545407	9547455	NM_021511	Rrs1
uc007agl.2	chr1	+	9548045	9577968	NM_175236	Adhfe1
uc007agm.2	chr1	+	9548045	9577968	NR_027664	Adhfe1
uc007agn.2	chr1	-	9560832	9631092	NR_015470	2610203C22Rik
uc007agp.1	chr1	+	9601266	9627142	NM_178399	3110035E14Rik
uc007agq.2	chr1	-	9667410	9700209	NM_008651	Mybl1
uc007ags.3	chr1	-	9718621	9748382	NM_173443	Vcpip1
uc029qmu.1	chr1	+	9747647	9771256	NR_040462	1700034P13Rik
uc007agu.1	chr1	+	9798129	9902568	NM_133220	Sgk3
uc007agv.1	chr1	+	9798129	9902568	NM_177547	Sgk3
uc007agw.1	chr1	+	9798129	9902568	AK151996	Sgk3
uc007agx.1	chr1	+	9848280	9902568	NM_001037759	Sgk3
uc007agy.1	chr1	+	9848396	9902568	AK171959	Sgk3
uc007agz.1	chr1	+	9908637	9922525	AK031395	Mcmdc2
uc011wie.1	chr1	+	9908637	9940954	NM_177722	Mcmdc2
uc007aha.1	chr1	-	9942024	9944118	NR_024067	Snhg6
uc011wif.1	chr1	-	9942469	9942543	NR_004410	Snord87
uc007ahb.2	chr1	-	9968621	10009136	NM_145692	Ppp1r42
uc007ahd.2	chr1	-	9995062	10009136	AK005871	Ppp1r42
uc007ahe.2	chr1	-	10024599	10038159	NM_013715	Cops5
uc007ahf.2	chr1	-	10030919	10038159	AK133073	Cops5
uc007ahi.1	chr1	+	10038217	10136768	NM_026493	Cspp1
uc011wih.1	chr1	+	10046492	10136768	FJ008676	Cspp1
uc007ahn.1	chr1	-	10137506	10232670	NM_001102430	Arfgef1
uc007ahp.1	chr1	-	10173074	10216559	AK085726	Arfgef1
uc007ahq.2	chr1	-	10324718	10719945	NM_177834	Cpa6
uc007ahs.2	chr1	+	10993464	11303682	NM_029525	Prex2
uc007ahv.2	chr1	+	11263962	11303682	NM_001033636	Prex2
uc007ahy.2	chr1	+	11414104	11601821	NM_001160371	A830018L16Rik
