Gene stable ID	Chromosome/scaffold name	Gene end (bp)	Gene start (bp)	Gene name	Strand
ENSG00000276626	3	124792562	124792319	RF00100	-1
ENSG00000201317	1	92700934	92700819	RNU4-59P	-1
ENSG00000200823	14	100951933	100951856	SNORD114-2	1
ENSG00000221598	22	45201019	45200954	MIR1249	-1
ENSG00000199595	1	161699607	161699506	RF00019	1
ENSG00000200839	1	51973535	51973410	RNA5SP48	1
ENSG00000222532	X	63786087	63786002	MIR1468	-1
ENSG00000201294	20	3360142	3360036	RNU6-1019P	1
ENSG00000264901	20	47167058	47166967	MIR3616	1
ENSG00000200605	15	50221996	50221888	RF00019	1
ENSG00000207395	15	69406552	69406441	RF00019	1
ENSG00000206734	17	47557514	47557413	RF00019	1
ENSG00000201050	4	164787396	164787290	RNU6-668P	1
ENSG00000199065	9	4850375	4850297	MIR101-2	1
ENSG00000207180	6	71182718	71182612	RNU6-411P	1
ENSG00000266808	2	184379044	184378975	MIR548AE1	1
ENSG00000242170	8	125270902	125270604	RN7SL329P	1
ENSG00000199827	2	175029877	175029769	RNU6-1290P	1
ENSG00000199348	2	168606496	168606390	RNU6-766P	-1
ENSG00000222705	10	28442896	28442575	RN7SKP39	-1
ENSG00000206954	17	48088784	48088678	RNU6-1201P	-1
ENSG00000239137	19	55167274	55167171	RF01210	1
ENSG00000207404	5	108891546	108891437	RF00019	1
ENSG00000284142	8	143837816	143837756	MIR6845	-1
ENSG00000207693	9	137838516	137838419	MIR602	1
ENSG00000265694	2	168583018	168582943	MIR4774	1
ENSG00000266477	5	69479265	69478997	RN7SL616P	-1
ENSG00000216060	X	136550960	136550878	MIR934	1
ENSG00000275127	15	25090014	25089923	SNORD116-22	1
ENSG00000274662	21	25101415	25101132	RN7SKP236	1
ENSG00000263669	2	70075272	70075014	RN7SL470P	-1
ENSG00000277889	9	106601022	106600928	MIR8081	1
ENSG00000207588	7	128081960	128081861	MIR593	1
ENSG00000264092	8	16863496	16863196	RN7SL474P	-1
ENSG00000202485	4	82174653	82174547	RNU6-499P	1
ENSG00000272080	X	50014683	50014598	MIR502	1
ENSG00000238628	6	87721018	87720915	RF01210	1
ENSG00000284149	2	131491236	131491160	MIR4784	-1
ENSG00000252900	Y	4175090	4174985	RNU6-303P	-1
ENSG00000284596	7	102471531	102471469	MIR4467	1
ENSG00000238731	16	72673564	72673503	RNU7-90P	1
ENSG00000207617	9	95086094	95086014	MIR3074	-1
ENSG00000201448	1	36418578	36418450	SNORA63C	-1
ENSG00000207867	X	147284728	147284641	MIR514A3	-1
ENSG00000277613	17	90899	90796	RF00026	-1
ENSG00000240481	12	24707083	24706788	RN7SL38P	1
ENSG00000265932	7	19705436	19705358	MIR3146	-1
ENSG00000201377	X	70396375	70396279	RNY4P23	1
ENSG00000221055	2	113583096	113582959	MIR1302-3	-1
ENSG00000283863	9	127785923	127785833	MIR3960	1
