"","Ensbl","chr","DMRstart","DMRend","chrom","gene_start","gene_end","distance_relhg38","label","hgnc_symbol","entrezgene","description","chromosome_name","start_position","end_position"
"1","ENSG00000001617","chr3",50173590,50173941,"chr3",50155045,50189075,0,"DMR Genes","SEMA3F",6405,"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","3",50155045,50189075
"2","ENSG00000001617","chr3",50162728,50163857,"chr3",50155045,50189075,0,"DMR Genes","SEMA3F",6405,"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","3",50155045,50189075
"3","ENSG00000002746","chr7",43386084,43386983,"chr7",43112599,43566001,0,"DMR Genes","HECW1",23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","7",43112599,43566001
"4","ENSG00000002746","chr7",43529177,43531981,"chr7",43112599,43566001,0,"DMR Genes","HECW1",23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","7",43112599,43566001
"5","ENSG00000002746","chr7",43304057,43304336,"chr7",43112599,43566001,0,"DMR Genes","HECW1",23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","7",43112599,43566001
"6","ENSG00000002822","chr7",2157891,2158727,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"7","ENSG00000002834","chr17",38891398,38893790,"chr17",38869859,38921770,0,"DMR Genes","LASP1",3927,"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]","17",38869859,38921770
"8","ENSG00000004399","chr3",129604296,129605033,"chr3",129555175,129606818,0,"DMR Genes","PLXND1",23129,"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","3",129555175,129606818
"9","ENSG00000004487","chr1",23081315,23082347,"chr1",23019448,23083689,0,"DMR Genes","KDM1A",23028,"lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","1",23019443,23083689
"10","ENSG00000004776","chr19",35756709,35757176,"chr19",35754569,35758079,0,"DMR Genes","HSPB6",126393,"heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]","19",35754569,35758079
"11","ENSG00000004777","chr19",35779181,35780226,"chr19",35774532,35788822,0,"DMR Genes","ARHGAP33",115703,"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","19",35774532,35788822
"12","ENSG00000005007","chr19",18847053,18847814,"chr19",18831938,18868236,0,"DMR Genes","UPF1",5976,"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","19",18831938,18868236
"13","ENSG00000005206","chr19",2337411,2337800,"chr19",2328615,2354806,0,"DMR Genes","SPPL2B",56928,"signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","19",2328615,2354806
"14","ENSG00000005243","chr17",48021407,48022031,"chr17",48026167,48038030,4137,"DMR Genes","COPZ2",51226,"coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]","17",48026167,48038030
"15","ENSG00000006071","chr11",17472768,17473977,"chr11",17392885,17476845,0,"DMR Genes","ABCC8",6833,"ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","11",17392498,17476879
"16","ENSG00000006071","chr11",17404576,17406076,"chr11",17392885,17476845,0,"DMR Genes","ABCC8",6833,"ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","11",17392498,17476879
"17","ENSG00000006283","chr17",50576790,50579201,"chr17",50561068,50627474,0,"DMR Genes","CACNA1G",8913,"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]","17",50561068,50627474
"18","ENSG00000006534","chr11",68019832,68021116,"chr11",68008578,68029282,0,"DMR Genes","ALDH3B1",221,"aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]","11",68008578,68029282
"19","ENSG00000006555","chr1",54801452,54801801,"chr1",54779712,54801267,-186,"DMR Genes","TTC22",55001,"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]","1",54779712,54801267
