"","Ensbl","chr","DMRstart","DMRend","chrom","gene_start","gene_end","distance_relhg38","label","hgnc_symbol","entrezgene","description","chromosome_name","start_position","end_position"
"1","ENSG00000001036","chr6",143513561,143515722,"chr6",143494811,143511690,-1872,"DMR Genes","FUCA2",2519,"alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]","6",143494811,143511690
"2","ENSG00000001460","chr1",24384255,24385431,"chr1",24356999,24416934,0,"DMR Genes","STPG1",90529,"sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","1",24356999,24416934
"3","ENSG00000001497","chrX",65533078,65535208,"chrX",65512582,65534775,0,"DMR Genes","LAS1L",81887,"LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","X",65512582,65534775
"4","ENSG00000002079","chr7",99289046,99289606,"chr7",99238829,99311130,0,"DMR Genes","MYH16",NA,"myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]","7",99238829,99311130
"5","ENSG00000002079","chr7",99308155,99308949,"chr7",99238829,99311130,0,"DMR Genes","MYH16",NA,"myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]","7",99238829,99311130
"6","ENSG00000002745","chr7",121327846,121328443,"chr7",121325367,121341104,0,"DMR Genes","WNT16",51384,"Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","7",121325367,121341104
"7","ENSG00000002746","chr7",43277854,43278581,"chr7",43112599,43566001,0,"DMR Genes","HECW1",23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","7",43112599,43566001
"8","ENSG00000002822","chr7",2106532,2106856,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"9","ENSG00000002822","chr7",2214749,2215250,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"10","ENSG00000002822","chr7",2095191,2095694,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"11","ENSG00000002822","chr7",2063750,2064309,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"12","ENSG00000002822","chr7",2141010,2141512,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"13","ENSG00000002822","chr7",1929032,1929620,"chr7",1815793,2233243,0,"DMR Genes","MAD1L1",8379,"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","7",1815793,2233243
"14","ENSG00000004399","chr3",129560363,129561630,"chr3",129555175,129606818,0,"DMR Genes","PLXND1",23129,"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","3",129555175,129606818
"15","ENSG00000004660","chr17",3871941,3872184,"chr17",3860315,3894891,0,"DMR Genes","CAMKK1",84254,"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","17",3860315,3894891
"16","ENSG00000004660","chr17",3890361,3891363,"chr17",3860315,3894891,0,"DMR Genes","CAMKK1",84254,"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","17",3860315,3894891
"17","ENSG00000004809","chr6",110474669,110475610,"chr6",110424687,110476641,0,"DMR Genes","SLC22A16",85413,"solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]","6",110424687,110476641
"18","ENSG00000004846","chr7",20707995,20708095,"chr7",20615207,20777038,0,"DMR Genes","ABCB5",340273,"ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]","7",20615207,20777038
"19","ENSG00000004939","chr17",44259262,44259723,"chr17",44248385,44268141,0,"DMR Genes","SLC4A1",6521,"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","17",44248385,44268141
"20","ENSG00000004961","chrX",11113387,11116469,"chrX",11111301,11123078,0,"DMR Genes","HCCS",3052,"holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","X",11111301,11123078
"21","ENSG00000005007","chr19",18866544,18866919,"chr19",18831938,18868236,0,"DMR Genes","UPF1",5976,"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","19",18831938,18868236
"22","ENSG00000005007","chr19",18848289,18849148,"chr19",18831938,18868236,0,"DMR Genes","UPF1",5976,"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","19",18831938,18868236
"23","ENSG00000005379","chr17",58325529,58326033,"chr17",58301228,58328760,0,"DMR Genes","TSPOAP1",9256,"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","17",58301228,58328760
"24","ENSG00000005486","chr7",75872779,75873533,"chr7",75842602,75888926,0,"DMR Genes","RHBDD2",57414,"rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]","7",75842602,75888926
